fullname	acronym	country
Koninklijk Nederlands Meteorological Institute	KNMI	Netherlands
European Centre for Medium-Range Weather Forecasts	ECMWF	United Kingdom
Sveriges Meteorologiska Och Hydrologiska Institut	SMHI	Sweden
Institut National de Recherche en Sciences et Technologies pour l'Environnement et l'Agriculture	IRSTEA	France
Potsdam-Institut für Klimafolgenforschung	PIK	Germany
Arctik SPRL	ARCTIK	Belgium
Barcelona Supercomputing Center - Centro Nacional de Supercomputacion	BSC	Spain
Met Office	METOFFICE	United Kingdom
The Research Committee of The Technical University of Crete	TUC	Greece
The University of Reading	UREAD	United Kingdom
Helmholtz-Zentrum Geesthacht Zentrum für Material- und Küstenforschung GmBH	HZG	Germany
Stichting Deltares	DELTARES	Netherlands
Stichting VU-VUMC	IVM	Netherlands
Adelphi Research GGmBH	ADELPHI	Germany
HKV Lijn in Water B.V.	HKV	Netherlands
FUTUREWATER SL	FW	Spain
Centro Tecnológico del Agua	CETAQUA	Spain
Universitat Politècnica de València	UPV	Spain
Politecnico di Milano	POLMIL	Italy
Centro Internazionale in Monitoraggio Ambientale - Fondazione CIMA	CIMA	Italy
Helmholtz-Zentrum Potsdam Deutsches Geoforschungszentrum	GFZ	Germany
Bundesanstalt fuer Gewaesserkunde	BfG	Germany
Stichting Water Footprint Network	WFN	Germany
