Code X_L2E Y_L2E
A0220200  990413.00 2297749.00
A0220650  988713.00 2300349.00
A0230200  988913.00 2305949.00
A0230201  992313.00 2300549.00
A0410300  994013.00 2370949.00
A0410301  988813.00 2357349.00
A0430310  994013.00 2375949.00
A0520031  997813.00 2390949.00
A0530310  995113.00 2382449.00
A0530750  996713.00 2387149.00
A0610099 1031113.00 2456949.00
A1000030  980813.00 2288749.00
A1000310  980313.00 2287549.00
A1037910  969513.00 2299249.00
A1050310  968613.00 2303249.00
A1050320  970013.00 2306349.00
A1072010  971013.00 2303049.00
A1080320  973513.00 2315349.00
A1080330  972613.00 2313749.00
A1102010  966313.00 2284949.00
A1122010  958413.00 2303349.00
A1122020  962413.00 2296049.00
A1133010  958013.00 2305849.00
A1150200  966713.00 2307349.00
A1152010  968613.00 2308349.00
A1202010  940713.00 2320949.00
A1202020  941313.00 2321349.00
A1202030  942213.00 2321849.00
A1202050  940913.00 2321149.00
A1202090  940913.00 2321149.00
A1204410  940613.00 2321049.00
A1205010  939813.00 2322849.00
A1207510  942013.00 2321949.00
A1222010  949613.00 2318349.00
A1222020  950013.00 2317649.00
A1226910  953713.00 2319049.00
A1235010  957413.00 2317749.00
A1242010  960613.00 2315949.00
A1243610  960913.00 2316049.00
A1249990  960613.00 2315949.00
A1252010  966913.00 2316549.00
A1252050  972113.00 2318249.00
A1255310  971413.00 2317149.00
A1255320  970213.00 2316249.00
A1256410  961513.00 2314149.00
A1304320  977713.00 2322149.00
A1310310  974713.00 2330549.00
A1313030  966013.00 2316349.00
A1320310  977813.00 2341949.00
A1340310  976713.00 2353549.00
A1350310  975813.00 2356849.00
A1402010  945013.00 2337249.00
A1402020  945013.00 2340849.00
A1402030  945113.00 2337049.00
A1424010  946613.00 2329349.00
A1432000  954213.00 2326449.00
A1432010  954213.00 2326449.00
A1432090  954513.00 2326449.00
A1436910  954813.00 2327649.00
A1462010  973913.00 2330649.00
A1462020  968713.00 2325749.00
A1462030  973013.00 2329749.00
A1462050  970213.00 2327649.00
A1470030  978613.00 2350349.00
A1502010  951713.00 2336749.00
A1502020  955113.00 2337049.00
A1502030  956013.00 2337649.00
A1502040  956313.00 2337749.00
A1506610  955513.00 2337049.00
A1512010  963113.00 2336049.00
A1515810  961613.00 2335949.00
A1522020  964213.00 2334949.00
A1552020  973513.00 2349149.00
A1554010  967513.00 2339749.00
A1554020  968113.00 2339549.00
A1554030  967513.00 2339749.00
A1572210  973413.00 2334149.00
A1572220  974013.00 2348849.00
A1583010  975813.00 2352149.00
A1599510  966813.00 2354249.00
A2012010  953113.00 2345649.00
A2012020  954413.00 2346849.00
A2023010  950813.00 2349649.00
A2023020  952313.00 2350049.00
A2023030  955713.00 2349949.00
A2030100  963013.00 2350049.00
A2035310  962613.00 2349449.00
A2040100  967613.00 2354449.00
A2042010  964713.00 2351849.00
A2052010  973213.00 2360149.00
A2052020  974213.00 2363049.00
A2062010  976513.00 2366349.00
A2073010  968913.00 2367249.00
A2102010  957913.00 2357649.00
A2113010  959613.00 2361249.00
A2120200  964013.00 2361949.00
A2122010  962713.00 2362049.00
A2132010  970013.00 2359649.00
A2153020  961713.00 2368149.00
A2230310  986013.00 2383949.00
A2240310  993313.00 2390849.00
A2244710  992013.00 2388149.00
A2250200  980313.00 2359849.00
A2250310  996613.00 2401349.00
A2260020  983013.00 2367049.00
A2260200  983713.00 2374049.00
A2280350 1001613.00 2416349.00
A2312020  971613.00 2380749.00
A2322120  958313.00 2370249.00
A2325410  958413.00 2370049.00
A2327010  958313.00 2371449.00
A2332110  967713.00 2375049.00
A2342110  971613.00 2376249.00
A2352010  981213.00 2376849.00
A2352020  979913.00 2376149.00
A2352021  980113.00 2376049.00
A2407320  990813.00 2381349.00
A2420200  992013.00 2385449.00
A2420210  997213.00 2393849.00
A2512010  976513.00 2388549.00
A2532010  988513.00 2395649.00
A2612010  982613.00 2396249.00
A2702010  956613.00 2389249.00
A2710670  964313.00 2393149.00
A2713710  963313.00 2388549.00
A2730380  964613.00 2398449.00
A2732010  964813.00 2401049.00
A2762050  977413.00 2404949.00
A2762090  977413.00 2404949.00
A2782010  982013.00 2408949.00
A2842010  980113.00 2409549.00
A2860110  991113.00 2408749.00
A2860111  991113.00 2408749.00
A2860112  992513.00 2409949.00
A2932010  997313.00 2418149.00
A3151010  995913.00 2438849.00
A3250210  990013.00 2446249.00
A3262010  996513.00 2438949.00
A3301010  996813.00 2438549.00
A3311010 1004513.00 2435549.00
A3422010  967513.00 2426149.00
A3430210  965513.00 2433849.00
A3472010  989413.00 2429949.00
A3492010 1000013.00 2426449.00
A3492020 1000513.00 2426449.00
A3501010 1012713.00 2432849.00
A3712010  996913.00 2453749.00
A3782110 1016213.00 2442049.00
A3792010 1020413.00 2444449.00
A3832010 1018613.00 2449149.00
